Transaction ID,Date,Product Category,Product Subcategory,Quantity,Price per Unit,Total Sales,Cost of Goods Sold,Marketing Expense,Shipping Expense,Discount Applied,Customer ID,Region,Profit,Tax,Payment Method,Day of Week,Month,Quarter,Customer Segment,Sales Channel,Product Rating
217739,23-09-2023,Home & Kitchen,Decor,4,43097.32,172389.28,133327.23,8782.73,1657.83,No Discount,3872,Uttarakhand,28621.49,25628.37,Debit Card,Saturday,September,Q3,Low-Value,Online,4.27
871623,15-02-2023,Fashion,Clothing,5,7563.65,37818.25,23505.57,2471.07,1673.28,5%,9547,Punjab,10168.33,3095.53,Cash,Wednesday,February,Q1,High-Value,Retail Store,4.99
679314,13-04-2023,Beauty,Skincare,2,35144.85,70289.7,44815.52,5434.42,440.98,5%,1424,Madhya Pradesh,19598.78,9306.32,Cash,Thursday,April,Q2,Mid-Value,Offline,4.5
511871,18-08-2023,Electronics,Audio Player,4,5511.67,22046.68,15221.24,2167.43,1654.78,10%,2145,Uttarakhand,3003.23,1204.28,Debit Card,Friday,August,Q3,Low-Value,Offline,4.09
874445,02-07-2023,Electronics,Mobiles,1,35863.98,35863.98,25176.4,2570.18,213.93,10%,1073,Gujrat,7903.47,2859.17,Cash,Sunday,July,Q3,Low-Value,Retail Store,3.72
223018,17-02-2023,Home & Kitchen,Appliances,2,49427.5,98855,63722.63,6931.23,260.82,10%,7755,Uttarakhand,27940.32,12506.96,Cash,Friday,February,Q1,High-Value,Offline,3.59
960617,05-06-2023,Fashion,Accessories,3,20368.95,61106.85,47149.1,4847.13,1004.01,No Discount,8409,Himachal Pradesh,8106.61,8184.27,Debit Card,Monday,June,Q2,Low-Value,Offline,3.16
920903,14-12-2023,Fashion,Shoes,2,11887.53,23775.06,16060.43,2059.68,726,5%,7701,Uttarakhand,4928.95,3027.67,Cash,Thursday,December,Q4,Low-Value,Online,2.75
781099,15-04-2023,Home & Kitchen,Decor,1,27086.37,27086.37,16787.99,1387.96,150.78,No Discount,1331,Himachal Pradesh,8759.64,1578.33,Cash,Saturday,April,Q2,High-Value,Retail Store,3.06
125639,22-08-2023,Home & Kitchen,Furniture,5,22410.2,112051,75872.02,7802,1034.06,15%,4115,Punjab,27342.92,6210.78,Debit Card,Tuesday,August,Q3,High-Value,Retail Store,4.17
303849,06-04-2023,Beauty,Makeup,5,34041.82,170209.1,110138.19,16901.38,1331.2,15%,7792,Punjab,41838.33,8910.04,Cash,Thursday,April,Q2,Low-Value,Online,3.73
818599,02-03-2023,Home & Kitchen,Appliances,2,9539.03,19078.06,14415.07,1856.2,163.21,15%,6932,Madhya Pradesh,2643.58,2381.32,Credit Card,Thursday,March,Q1,Mid-Value,Online,1.12
926995,12-02-2023,Electronics,Mobiles,4,11967.22,47868.88,35711.54,2825.66,1476.18,15%,9904,Punjab,7855.5,5340.89,Debit Card,Sunday,February,Q1,High-Value,Offline,2.59
826430,03-07-2023,Beauty,Fragrances,2,25563.98,51127.96,32905.18,4865.19,482.52,No Discount,6940,Himachal Pradesh,12875.07,4812.49,UPI,Monday,July,Q3,Mid-Value,Retail Store,1.22
554610,25-08-2023,Fashion,Clothing,3,48889.11,146667.33,90644.29,13444.12,1011.02,5%,1782,Maharastra,41567.9,13186.99,UPI,Friday,August,Q3,High-Value,Online,3.96
357668,06-02-2023,Home & Kitchen,Cookware,4,13224.49,52897.96,35359.55,5016.19,1745.3,5%,7082,Madhya Pradesh,10776.92,3845.53,Debit Card,Monday,February,Q1,Mid-Value,Online,1.69
504867,19-06-2023,Electronics,Audio Player,1,33423.63,33423.63,22366.65,2128.08,169.71,10%,9492,Haryana,8759.19,4738.4,UPI,Monday,June,Q2,Mid-Value,Offline,3.31
173205,01-03-2023,Fashion,Accessories,5,43518.38,217591.9,131453.82,13762.34,1303.86,15%,4037,Uttarakhand,71071.88,12634.66,Debit Card,Wednesday,March,Q1,Mid-Value,Retail Store,3.96
750299,18-06-2023,Home & Kitchen,Decor,5,30099.49,150497.45,97591.91,12386.74,689.26,5%,1956,Madhya Pradesh,39829.54,8408.47,Cash,Sunday,June,Q2,Mid-Value,Offline,1.98
578684,05-11-2023,Electronics,Audio Player,5,22132.38,110661.9,75293.87,8308.38,2443.49,5%,3217,Madhya Pradesh,24616.16,12421.56,UPI,Sunday,November,Q4,Low-Value,Offline,4.46
861273,01-01-2023,Beauty,Skincare,4,15951.18,63804.72,43811.31,5244.63,1236.84,No Discount,2886,Himachal Pradesh,13511.94,7059.43,UPI,Sunday,January,Q1,Low-Value,Offline,1.86
404936,29-12-2023,Fashion,Clothing,4,48107.32,192429.28,148488.21,17173.64,1843.04,15%,1252,Punjab,24924.39,27920.44,UPI,Friday,December,Q4,Mid-Value,Retail Store,2.17
